reference,additionalContext,verse,question,answer,grammaticality,acceptability
James 5:18,"Elijah was a man with a nature like ours, and he prayed earnestly that it would not rain; and it did not rain on the land for three years and six months. And he prayed again, and the heaven gave rain, and the earth produced its fruit. Brethren, if anyone among you wanders from the truth, and someone turns him back,","And he prayed again, and the heaven gave rain, and the earth produced its fruit.","(1pt) According to James 5:18, what happened after Elijah prayed again?",The heaven gave rain,,
James 5:18,"Elijah was a man with a nature like ours, and he prayed earnestly that it would not rain; and it did not rain on the land for three years and six months. And he prayed again, and the heaven gave rain, and the earth produced its fruit. Brethren, if anyone among you wanders from the truth, and someone turns him back,","And he prayed again, and the heaven gave rain, and the earth produced its fruit.","(3pts) According to James 5:18, what did Elijah do after the widow's son was raised from the dead?",(1) Prayed again and (2) the heaven gave rain and (3) the earth produced its fruit,,
James 5:18,"Elijah was a man with a nature like ours, and he prayed earnestly that it would not rain; and it did not rain on the land for three years and six months. And he prayed again, and the heaven gave rain, and the earth produced its fruit. Brethren, if anyone among you wanders from the truth, and someone turns him back,","And he prayed again, and the heaven gave rain, and the earth produced its fruit.","(2pts) According to James 5:18, what happened after Elijah prayed again?",(1) The heaven gave rain and (2) the earth produced its fruit,,
James 5:18,"Elijah was a man with a nature like ours, and he prayed earnestly that it would not rain; and it did not rain on the land for three years and six months. And he prayed again, and the heaven gave rain, and the earth produced its fruit. Brethren, if anyone among you wanders from the truth, and someone turns him back,","And he prayed again, and the heaven gave rain, and the earth produced its fruit.","(1pt) According to James 5:18, what did the heaven give?",Rain,,
James 5:18,"Elijah was a man with a nature like ours, and he prayed earnestly that it would not rain; and it did not rain on the land for three years and six months. And he prayed again, and the heaven gave rain, and the earth produced its fruit. Brethren, if anyone among you wanders from the truth, and someone turns him back,","And he prayed again, and the heaven gave rain, and the earth produced its fruit.","(1pt) According to James 5:18, what gave rain?",The heaven,,
James 5:18,"Elijah was a man with a nature like ours, and he prayed earnestly that it would not rain; and it did not rain on the land for three years and six months. And he prayed again, and the heaven gave rain, and the earth produced its fruit. Brethren, if anyone among you wanders from the truth, and someone turns him back,","And he prayed again, and the heaven gave rain, and the earth produced its fruit.","(1pt) According to James 5:18, what did the earth produce?",Its fruit,,
John 1:23,"Then they said to him, ""Who are you, that we may give an answer to those who sent us? What do you say about yourself?"" He said: ""I am ""The voice of one crying in the wilderness: ""Make straight the way of the LORD,""' as the prophet Isaiah said."" Now those who were sent were from the Pharisees.","He said: ""I am ""The voice of one crying in the wilderness: ""Make straight the way of the LORD,""' as the prophet Isaiah said.""","(1pt) According to John 1:23, what did John say he was?",The voice of one crying in the wilderness,,
John 1:23,"Then they said to him, ""Who are you, that we may give an answer to those who sent us? What do you say about yourself?"" He said: ""I am ""The voice of one crying in the wilderness: ""Make straight the way of the LORD,""' as the prophet Isaiah said."" Now those who were sent were from the Pharisees.","He said: ""I am ""The voice of one crying in the wilderness: ""Make straight the way of the LORD,""' as the prophet Isaiah said.""","(1pt) According to John 1:23, what was John crying in the wilderness?",Make straight the way of the Lord,,
John 1:23,"Then they said to him, ""Who are you, that we may give an answer to those who sent us? What do you say about yourself?"" He said: ""I am ""The voice of one crying in the wilderness: ""Make straight the way of the LORD,""' as the prophet Isaiah said."" Now those who were sent were from the Pharisees.","He said: ""I am ""The voice of one crying in the wilderness: ""Make straight the way of the LORD,""' as the prophet Isaiah said.""","(1pt) According to John 1:23, what was the voice of one crying in the wilderness telling people to make the way of the Lord?",Straight,,
John 1:23,"Then they said to him, ""Who are you, that we may give an answer to those who sent us? What do you say about yourself?"" He said: ""I am ""The voice of one crying in the wilderness: ""Make straight the way of the LORD,""' as the prophet Isaiah said."" Now those who were sent were from the Pharisees.","He said: ""I am ""The voice of one crying in the wilderness: ""Make straight the way of the LORD,""' as the prophet Isaiah said.""","(1pt) According to John 1:23, John said that he was the voice of how many crying in the wilderness?",One,,
John 1:23,"Then they said to him, ""Who are you, that we may give an answer to those who sent us? What do you say about yourself?"" He said: ""I am ""The voice of one crying in the wilderness: ""Make straight the way of the LORD,""' as the prophet Isaiah said."" Now those who were sent were from the Pharisees.","He said: ""I am ""The voice of one crying in the wilderness: ""Make straight the way of the LORD,""' as the prophet Isaiah said.""","(1pt) According to John 1:23, John said that he was the voice of one crying in the wilderness. Who said that?",The prophet Isaiah,,
John 1:23,"Then they said to him, ""Who are you, that we may give an answer to those who sent us? What do you say about yourself?"" He said: ""I am ""The voice of one crying in the wilderness: ""Make straight the way of the LORD,""' as the prophet Isaiah said."" Now those who were sent were from the Pharisees.","He said: ""I am ""The voice of one crying in the wilderness: ""Make straight the way of the LORD,""' as the prophet Isaiah said.""","(1pt) According to John 1:23, John said that he is ""the voice of one crying"" where?",In the wilderness,,
John 1:23,"Then they said to him, ""Who are you, that we may give an answer to those who sent us? What do you say about yourself?"" He said: ""I am ""The voice of one crying in the wilderness: ""Make straight the way of the LORD,""' as the prophet Isaiah said."" Now those who were sent were from the Pharisees.","He said: ""I am ""The voice of one crying in the wilderness: ""Make straight the way of the LORD,""' as the prophet Isaiah said.""","(1pt) According to John 1:23, John said that he is the voice of one crying in the wilderness to make straight what?",The way of the Lord,,
John 16:10,"of sin, because they do not believe in Me; of righteousness, because I go to My Father and you see Me no more; of judgment, because the ruler of this world is judged.","of righteousness, because I go to My Father and you see Me no more;","(1pt) According to John 16:10, Jesus said that His disciples will see Him no more because He goes where?",To My Father,,
John 16:10,"of sin, because they do not believe in Me; of righteousness, because I go to My Father and you see Me no more; of judgment, because the ruler of this world is judged.","of righteousness, because I go to My Father and you see Me no more;","(1pt) According to John 16:10, Jesus said that His disciples will see Him how?",No more,,
John 16:10,"of sin, because they do not believe in Me; of righteousness, because I go to My Father and you see Me no more; of judgment, because the ruler of this world is judged.","of righteousness, because I go to My Father and you see Me no more;","(1pt) According to John 16:10, Jesus told His disciples that they will be sent of judgment because the ruler of this world is judged. What else does He say they will be sent of?",Of righteousness,,
John 16:10,"of sin, because they do not believe in Me; of righteousness, because I go to My Father and you see Me no more; of judgment, because the ruler of this world is judged.","of righteousness, because I go to My Father and you see Me no more;","(1pt) According to John 16:10, Jesus said that His disciples will be convicted of sin because they do not believe in Him, righteousness because He goes to His Father, and judgment because the ruler of this world is judged. What did Jesus say they will no longer do?",Seeing Him,,
John 16:10,"of sin, because they do not believe in Me; of righteousness, because I go to My Father and you see Me no more; of judgment, because the ruler of this world is judged.","of righteousness, because I go to My Father and you see Me no more;","(1pt) According to John 16:10, Jesus said that His disciples will be judged because the ruler of this world is judged. What does Jesus say that His disciples will do?",See Me no more,,
John 16:10,"of sin, because they do not believe in Me; of righteousness, because I go to My Father and you see Me no more; of judgment, because the ruler of this world is judged.","of righteousness, because I go to My Father and you see Me no more;","(1pt) According to John 16:10, Jesus told His disciples that the world will be convicted of judgment because the ruler of this world is judged. What does Jesus say that His disciples will not be able to do?",Seeing Him no more,,
John 16:10,"of sin, because they do not believe in Me; of righteousness, because I go to My Father and you see Me no more; of judgment, because the ruler of this world is judged.","of righteousness, because I go to My Father and you see Me no more;","(1pt) According to John 16:10, Jesus said that His disciples will be convicted of sin because they will not believe in Him when they see Him how?","No more, because He was going to His Father",,
Obadiah 1:16,"""For the day of the LORD upon all the nations is near; As you have done, it shall be done to you; Your reprisal shall return upon your own head. For as you drank on My holy mountain, So shall all the nations drink continually; Yes, they shall drink, and swallow, And they shall be as though they had never been. ""But on Mount Zion there shall be deliverance, And there shall be holiness; The house of Jacob shall possess their possessions.","For as you drank on My holy mountain, So shall all the nations drink continually; Yes, they shall drink, and swallow, And they shall be as though they had never been.","(1pt) According to Obadiah 1:16, what will all the nations do as they drink on the holy mountain?",They shall drink continually,,
Obadiah 1:16,"""For the day of the LORD upon all the nations is near; As you have done, it shall be done to you; Your reprisal shall return upon your own head. For as you drank on My holy mountain, So shall all the nations drink continually; Yes, they shall drink, and swallow, And they shall be as though they had never been. ""But on Mount Zion there shall be deliverance, And there shall be holiness; The house of Jacob shall possess their possessions.","For as you drank on My holy mountain, So shall all the nations drink continually; Yes, they shall drink, and swallow, And they shall be as though they had never been.","(1pt) According to Obadiah 1:16, where did the Lord say the nations would drink continually?",On My holy mountain,,
Obadiah 1:16,"""For the day of the LORD upon all the nations is near; As you have done, it shall be done to you; Your reprisal shall return upon your own head. For as you drank on My holy mountain, So shall all the nations drink continually; Yes, they shall drink, and swallow, And they shall be as though they had never been. ""But on Mount Zion there shall be deliverance, And there shall be holiness; The house of Jacob shall possess their possessions.","For as you drank on My holy mountain, So shall all the nations drink continually; Yes, they shall drink, and swallow, And they shall be as though they had never been.","(1pt) According to Obadiah 1:16, how shall the nations be when they drink continually?",As though they had never been,,
Obadiah 1:16,"""For the day of the LORD upon all the nations is near; As you have done, it shall be done to you; Your reprisal shall return upon your own head. For as you drank on My holy mountain, So shall all the nations drink continually; Yes, they shall drink, and swallow, And they shall be as though they had never been. ""But on Mount Zion there shall be deliverance, And there shall be holiness; The house of Jacob shall possess their possessions.","For as you drank on My holy mountain, So shall all the nations drink continually; Yes, they shall drink, and swallow, And they shall be as though they had never been.","(2pts) According to Obadiah 1:16, what will all the nations do continually?",(1) Drink (2) Swallow,,
Obadiah 1:16,"""For the day of the LORD upon all the nations is near; As you have done, it shall be done to you; Your reprisal shall return upon your own head. For as you drank on My holy mountain, So shall all the nations drink continually; Yes, they shall drink, and swallow, And they shall be as though they had never been. ""But on Mount Zion there shall be deliverance, And there shall be holiness; The house of Jacob shall possess their possessions.","For as you drank on My holy mountain, So shall all the nations drink continually; Yes, they shall drink, and swallow, And they shall be as though they had never been.","(3pts) According to Obadiah 1:16, what will all the nations do?",(1) Drink (2) Swallow (3) Be as though they had never been,,
Obadiah 1:16,"""For the day of the LORD upon all the nations is near; As you have done, it shall be done to you; Your reprisal shall return upon your own head. For as you drank on My holy mountain, So shall all the nations drink continually; Yes, they shall drink, and swallow, And they shall be as though they had never been. ""But on Mount Zion there shall be deliverance, And there shall be holiness; The house of Jacob shall possess their possessions.","For as you drank on My holy mountain, So shall all the nations drink continually; Yes, they shall drink, and swallow, And they shall be as though they had never been.","(1pt) According to Obadiah 1:16, how long shall all the nations drink?",Continually,,
Obadiah 1:16,"""For the day of the LORD upon all the nations is near; As you have done, it shall be done to you; Your reprisal shall return upon your own head. For as you drank on My holy mountain, So shall all the nations drink continually; Yes, they shall drink, and swallow, And they shall be as though they had never been. ""But on Mount Zion there shall be deliverance, And there shall be holiness; The house of Jacob shall possess their possessions.","For as you drank on My holy mountain, So shall all the nations drink continually; Yes, they shall drink, and swallow, And they shall be as though they had never been.","(1pt) According to Obadiah 1:16, who will drink continually?",The nations,,
Habakkuk 3:14,"You went forth for the salvation of Your people, For salvation with Your Anointed. You struck the head from the house of the wicked, By laying bare from foundation to neck. Selah You thrust through with his own arrows The head of his villages. They came out like a whirlwind to scatter me; Their rejoicing was like feasting on the poor in secret. You walked through the sea with Your horses, Through the heap of great waters.",You thrust through with his own arrows The head of his villages. They came out like a whirlwind to scatter me; Their rejoicing was like feasting on the poor in secret.,"(1pt) According to Habakkuk 3:14, the Lord thrust through what with his own arrows?",The villages,,
Habakkuk 3:14,"You went forth for the salvation of Your people, For salvation with Your Anointed. You struck the head from the house of the wicked, By laying bare from foundation to neck. Selah You thrust through with his own arrows The head of his villages. They came out like a whirlwind to scatter me; Their rejoicing was like feasting on the poor in secret. You walked through the sea with Your horses, Through the heap of great waters.",You thrust through with his own arrows The head of his villages. They came out like a whirlwind to scatter me; Their rejoicing was like feasting on the poor in secret.,"(2pts) According to Habakkuk 3:14, what is like the rejoicing of the Chaldeans?",(1) Like feasting on the poor in secret (2) Rejoicing,,
Habakkuk 3:14,"You went forth for the salvation of Your people, For salvation with Your Anointed. You struck the head from the house of the wicked, By laying bare from foundation to neck. Selah You thrust through with his own arrows The head of his villages. They came out like a whirlwind to scatter me; Their rejoicing was like feasting on the poor in secret. You walked through the sea with Your horses, Through the heap of great waters.",You thrust through with his own arrows The head of his villages. They came out like a whirlwind to scatter me; Their rejoicing was like feasting on the poor in secret.,"(1pt) According to Habakkuk 3:14, what does Habakkuk say was thrust through with his own arrows?",The head of his villages,,
Habakkuk 3:14,"You went forth for the salvation of Your people, For salvation with Your Anointed. You struck the head from the house of the wicked, By laying bare from foundation to neck. Selah You thrust through with his own arrows The head of his villages. They came out like a whirlwind to scatter me; Their rejoicing was like feasting on the poor in secret. You walked through the sea with Your horses, Through the heap of great waters.",You thrust through with his own arrows The head of his villages. They came out like a whirlwind to scatter me; Their rejoicing was like feasting on the poor in secret.,"(1pt) According to Habakkuk 3:14, how did the head of his villages come out?",Like a whirlwind,,
Habakkuk 3:14,"You went forth for the salvation of Your people, For salvation with Your Anointed. You struck the head from the house of the wicked, By laying bare from foundation to neck. Selah You thrust through with his own arrows The head of his villages. They came out like a whirlwind to scatter me; Their rejoicing was like feasting on the poor in secret. You walked through the sea with Your horses, Through the heap of great waters.",You thrust through with his own arrows The head of his villages. They came out like a whirlwind to scatter me; Their rejoicing was like feasting on the poor in secret.,"(1pt) According to Habakkuk 3:14, what does Habakkuk say that the Lord thrust through the head of his villages?",His own arrows,,
Habakkuk 3:14,"You went forth for the salvation of Your people, For salvation with Your Anointed. You struck the head from the house of the wicked, By laying bare from foundation to neck. Selah You thrust through with his own arrows The head of his villages. They came out like a whirlwind to scatter me; Their rejoicing was like feasting on the poor in secret. You walked through the sea with Your horses, Through the heap of great waters.",You thrust through with his own arrows The head of his villages. They came out like a whirlwind to scatter me; Their rejoicing was like feasting on the poor in secret.,"(1pt) According to Habakkuk 3:14, the rejoicing of the nations is like feasting on whom in secret?",The poor,,
